Segmentation model,Inpainting model,Device,TensorRT,Inference steps,Batch size,Tempo Segmentazione (s),Tempo Estrazione Crop (s),Tempo Inpainting Totale (s),Tempo Totale Script (s),Persone Elaborate,Tempo Medio Inpainting/Persona (s)
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,False,20,4,1.93,0.37,175.69,198.02,16,10.98
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,False,20,4,0.57,0.37,3.6,14.32,16,0.22
yolov8x-seg,v1-5-pruned-emaonly,cuda,True,20,4,0.58,0.37,69.43,76.76,16,4.34
yolov8x-seg,v1-5-pruned-emaonly,cuda,True,20,4,0.58,0.37,7.61,13.94,16,0.48
yolov8x-seg,v1-5-pruned-emaonly,cuda,True,20,4,0.59,0.38,7.58,14.28,16,0.47
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,0.58,0.37,7.71,13.58,16,0.48
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,False,20,4,0.58,0.37,117.96,128.79,16,7.37
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.15,0.37,12.07,19.84,16,0.75
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.13,0.37,11.85,19.61,16,0.74
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.11,0.38,12.25,20.09,16,0.77
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,0.57,0.37,0.9,6.01,16,0.06
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,False,20,4,1.11,0.37,42.54,56.13,16,2.66
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.13,0.37,11.19,18.96,16,0.7
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.12,0.37,11.67,19.54,16,0.73
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.13,0.37,11.7,19.25,16,0.73
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,2.67,0.43,11.9,24.85,16,0.74
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.13,0.37,11.79,19.32,16,0.74
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,2.64,0.43,12.24,24.42,16,0.76
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,3.06,0.43,12.12,25.19,16,0.76
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.32,0.37,12.82,23.01,16,0.8
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.22,0.39,12.14,21.33,16,0.76
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.14,0.37,11.67,21.61,16,0.73
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.12,0.37,12.92,21.65,16,0.81
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.13,0.37,12.91,21.85,16,0.81
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.13,0.37,12.83,22.24,16,0.8
yolov8x-seg,v1-5-pruned-emaonly-fp16,cuda,True,20,4,1.12,0.37,15.34,24.28,16,0.96
